data_center_id,project_stage,state_or_region,state_code,data_center_estimated_power_mw,data_center_selected_power_mw,sector,year
312fbc0c-eafc-4584-b7e9-7e0d249b5e89,Announcement,Ohio,OH,44.88,80.0,all_sectors,2025
50eb6044-2097-46ad-945c-d6d2a233af1d,Announcement,Ohio,OH,44.88,80.0,all_sectors,2025
d40ce920-2468-11f0-ad1d-d192baecfac4,Announcement,Texas,TX,,140.0,all_sectors,2025
912a5618-5337-451e-827d-53488b803a4e,Not Approved/Withdrawn,Virginia,VA,61.61,61.61,all_sectors,2025
6ce834b4-afd0-492c-94a1-cc40c3bc66f9,Announcement,Georgia,GA,32.19,36.0,all_sectors,2025
3d6be780-4c55-4bc1-a503-564148f111aa,Announcement,Texas,TX,66.15,100.0,all_sectors,2025
02ee9e31-897b-44a1-b854-7d5abc85a61d,Announcement,Virginia,VA,61.8,61.8,all_sectors,2025
66ef8500-4f41-4eaa-a2a6-5341e999f027,Announcement,Virginia,VA,61.8,61.8,all_sectors,2025
1fd3239a-1129-4199-92b8-e4b9a23613c6,Announcement,Texas,TX,,200.0,all_sectors,2025
0cf3cee7-6bc0-48d9-a6b5-d5c155d71e0f,Announcement,Virginia,VA,61.99,61.99,all_sectors,2025
39977344-39ab-4464-9867-a0ec031a768e,Announcement,Pennsylvania,PA,53.42,43.0,all_sectors,2025
1c31dc19-cc88-4518-a01b-05a2f8445d59,Not Approved/Withdrawn,Indiana,IN,,,all_sectors,2025
34158b94-b5c6-4233-913d-583cf75be9ff,Announcement,Texas,TX,57.55,250.0,all_sectors,2025
c69be86e-dd3d-413d-8459-36d369a5e81b,Announcement,Texas,TX,57.55,250.0,all_sectors,2025
0f981e6f-7ab2-4c04-814f-6615043f0e95,Announcement,Illinois,IL,49.36,49.36,all_sectors,2025
14ab4cf3-8f93-459f-8c24-88f3657d14ce,Announcement,Ohio,OH,60.64,60.64,all_sectors,2025
280072c8-9ac7-4ebb-984a-f978c6845713,Announcement,Virginia,VA,64.77,64.77,all_sectors,2025
82b46cad-f34d-4c23-9397-9f681745f221,Announcement,Illinois,IL,30.66,144.0,all_sectors,2025
399ed007-2622-4fb6-96d4-77ada65c945c,Announcement,Georgia,GA,58.92,58.92,all_sectors,2025
82c17240-8266-4c85-ad58-c98311863505,Not Approved/Withdrawn,Delaware,DE,72.0,72.0,all_sectors,2025
ffe8422d-2d52-4416-8fa7-6184cb57afb9,Active,Texas,TX,25.64,25.64,all_sectors,2025
2c88b8b7-c829-4a1e-a80e-676f4f6e757b,Active,Texas,TX,25.64,25.64,all_sectors,2025
9643ebc3-a6f9-426f-998f-1abc1c934f66,Construction,Georgia,GA,37.07,145.0,all_sectors,2025
016a5328-50c1-4c65-bec6-14b56e528d5c,Active,California,CA,27.96,34.0,all_sectors,2025
10d5c18a-af45-40e9-8216-03b01736d628,Construction,Colorado,CO,21.11,21.0,all_sectors,2025
6e819526-9e02-4921-8fc1-c4b6737120e9,Announcement,Virginia,VA,,,all_sectors,2025
24ec6395-3dbd-4858-8d0e-61e933fc4a2b,Active,Virginia,VA,54.38,72.0,all_sectors,2025
7bc58e79-d3bb-4943-bdb0-c0587fba5b27,Active,Illinois,IL,50.0,50.0,all_sectors,2025
b11101b1-7c35-48eb-acb0-8feb6aeb7a66,Announcement,Arizona,AZ,,36.0,all_sectors,2025
2f0d4f13-1841-49a9-ae8a-5954132c1e64,Active,Arizona,AZ,8.24,8.24,all_sectors,2025
bc656a87-3b2f-427f-8066-7f587a0d5a46,Announcement,Virginia,VA,49.42,49.42,all_sectors,2025
9ec7725a-a369-4b54-975f-ee4d624ca536,Announcement,Arizona,AZ,50.0,50.0,all_sectors,2025
e31eaab0-bb14-4fff-8dc9-07bf539af449,Active,Texas,TX,6.82,12.0,all_sectors,2025
d89c20a4-25ad-49ca-9128-ab38199b579c,Active,Alabama,AL,4.02,7.4,all_sectors,2025
9cf482c0-c64e-4487-afff-877d19594837,Active,Alabama,AL,,5.0,all_sectors,2025
b23fc897-3816-4c7b-8b57-e178f9682edd,Active,Delaware,DE,2.67,8.0,all_sectors,2025
69ddcdda-8fcd-45a9-a6af-caca12226128,Active,Texas,TX,4.71,4.0,all_sectors,2025
f9993610-f08f-42bd-a744-2246b2cde3dd,Active,Texas,TX,6.09,5.0,all_sectors,2025
b089feb5-3250-4756-87af-3a44f084e48b,Construction,Texas,TX,33.05,40.0,all_sectors,2025
46d96745-af85-4292-b3ca-d313f002539c,Active,California,CA,9.66,9.0,all_sectors,2025
9ffa2f5d-ea18-4060-b4f7-52cc49867bed,Announcement,Illinois,IL,74.02,54.0,all_sectors,2025
300e7c04-f741-4c18-a773-9f040da6d2c8,Active,Massachusetts,MA,11.08,10.0,all_sectors,2025
e079ecc9-d297-40ce-8982-44a46ee1b184,Active,Virginia,VA,15.46,16.0,all_sectors,2025
3d3eacb4-09b4-47d4-b0f8-57ac55ef4e5b,Active,New Jersey,NJ,14.09,11.0,all_sectors,2025
05bfdf8e-12f1-430b-89e6-709f245cc029,Announcement,Virginia,VA,70.78,80.0,all_sectors,2025
c3810378-f342-478c-89ed-eab720a41f5f,Active,Texas,TX,16.26,16.0,all_sectors,2025
faf4cf85-ce15-4db8-b191-39d2e56a1310,Active,Virginia,VA,24.29,54.0,all_sectors,2025
797e4fd2-425f-4ffb-b95a-d75ed500ed12,Announcement,Georgia,GA,77.12,152.5,all_sectors,2025
75ba8f6d-c3af-49fe-8571-790adc198df0,Active,Massachusetts,MA,1.79,1.0,all_sectors,2025
a0d8d2b6-74bd-4646-a5aa-761896bf1a74,Active,Georgia,GA,7.96,9.0,all_sectors,2025
2fda8e5e-1f76-4635-9d7b-dc8b327b3b90,Construction,Arizona,AZ,69.69,72.0,all_sectors,2025
b1d866fa-0d09-4a59-ae7a-e659911784c0,Active,Georgia,GA,55.78,100.0,all_sectors,2025
2a9fa592-b3cf-4944-aff2-8db62aa0420e,Construction,Illinois,IL,55.24,72.0,all_sectors,2025
